id,aquarium_id,sensor_id,value,created_at,updated_at
1,1,1,27.5,"2022-06-25 13:45:31.354343","2022-06-25 13:45:31.354343"
2,1,1,27.5,"2022-06-25 13:47:45.013833","2022-06-25 13:47:45.013833"
3,1,1,27.5,"2022-06-29 20:54:09.278300","2022-06-29 20:54:09.278300"
4,1,1,27.89,"2022-07-23 22:07:06.665763","2022-07-23 22:07:06.665763"
5,1,1,27.54,"2022-07-23 22:07:06.687702","2022-07-23 22:07:06.687702"
6,1,1,27.9,"2022-07-23 22:07:06.706565","2022-07-23 22:07:06.706565"
7,1,1,26.0,"2022-07-23 22:07:06.719914","2022-07-23 22:07:06.719914"
8,1,1,27.38,"2022-07-23 22:07:06.738730","2022-07-23 22:07:06.738730"
9,1,1,27.47,"2022-07-23 22:07:06.753795","2022-07-23 22:07:06.753795"
10,1,1,26.49,"2022-07-23 22:07:06.769572","2022-07-23 22:07:06.769572"
11,1,1,27.52,"2022-07-23 22:07:06.785662","2022-07-23 22:07:06.785662"
12,1,1,27.14,"2022-07-23 22:07:06.800502","2022-07-23 22:07:06.800502"
13,1,1,26.88,"2022-07-23 22:07:06.816728","2022-07-23 22:07:06.816728"
14,1,1,26.99,"2022-07-20 18:18:18.773072","2022-07-23 22:11:46.273709"
15,1,1,26.27,"2022-07-04 20:26:33.604694","2022-07-23 22:11:46.305766"
16,1,1,27.33,"2022-07-17 06:11:50.358502","2022-07-23 22:11:46.315919"
17,1,1,26.03,"2022-07-20 20:34:00.916104","2022-07-23 22:11:46.331930"
18,1,1,25.71,"2022-07-20 19:47:23.918591","2022-07-23 22:11:46.345880"
19,1,1,26.51,"2022-07-21 02:11:56.664639","2022-07-23 22:11:46.361713"
20,1,1,27.84,"2022-07-14 18:26:40.474690","2022-07-23 22:11:46.372475"
21,1,1,25.28,"2022-07-06 17:59:42.518448","2022-07-23 22:11:46.384474"
22,1,1,25.11,"2022-07-16 11:00:59.095900","2022-07-23 22:11:46.398152"
23,1,1,25.91,"2022-07-05 08:25:29.364800","2022-07-23 22:11:46.439238"
24,1,1,25.32,"2022-07-16 19:35:06.114621","2022-07-23 22:11:46.469903"
25,1,1,26.68,"2022-07-23 14:29:23.949291","2022-07-23 22:11:46.487959"
26,1,1,25.22,"2022-07-23 09:19:30.514598","2022-07-23 22:11:46.497459"
27,1,1,25.96,"2022-07-15 18:41:37.172079","2022-07-23 22:11:46.508217"
28,1,1,25.78,"2022-06-30 12:56:13.516112","2022-07-23 22:11:46.514165"
29,1,1,26.01,"2022-07-18 13:00:05.704792","2022-07-23 22:11:46.523806"
30,1,1,26.53,"2022-07-01 14:13:38.055073","2022-07-23 22:11:46.531136"
31,1,1,26.22,"2022-07-04 03:58:30.221581","2022-07-23 22:11:46.537603"
32,1,1,26.26,"2022-07-18 01:12:24.644964","2022-07-23 22:11:46.546619"
33,1,1,27.22,"2022-07-12 06:41:18.908852","2022-07-23 22:11:46.556956"
34,1,1,26.78,"2022-06-28 09:05:34.626575","2022-07-23 22:11:46.568021"
35,1,1,26.92,"2022-06-28 01:31:52.948182","2022-07-23 22:11:46.574143"
36,1,1,26.11,"2022-07-16 14:06:39.215915","2022-07-23 22:11:46.582753"
37,1,1,27.7,"2022-06-25 00:33:51.070948","2022-07-23 22:11:46.598539"
38,1,1,26.39,"2022-07-01 18:20:26.640160","2022-07-23 22:11:46.608750"
39,1,1,25.9,"2022-07-13 09:05:52.877413","2022-07-23 22:11:46.618343"
40,1,1,26.49,"2022-06-29 02:10:17.651320","2022-07-23 22:11:46.626963"
41,1,1,26.41,"2022-07-04 20:10:43.674233","2022-07-23 22:11:46.634471"
42,1,1,25.9,"2022-07-15 03:57:59.873521","2022-07-23 22:11:46.650068"
43,1,1,25.56,"2022-07-21 08:22:42.568560","2022-07-23 22:11:46.662973"
44,1,1,27.33,"2022-07-13 04:36:07.511160","2022-07-23 22:11:46.676046"
45,1,1,25.53,"2022-07-12 02:13:54.006092","2022-07-23 22:11:46.686665"
46,1,1,26.46,"2022-07-06 12:30:28.219970","2022-07-23 22:11:46.695753"
47,1,1,27.9,"2022-07-18 04:12:12.716533","2022-07-23 22:11:46.703352"
48,1,1,26.86,"2022-06-25 10:36:25.948781","2022-07-23 22:11:46.710791"
49,1,1,27.75,"2022-06-27 00:07:22.696098","2022-07-23 22:11:46.723881"
50,1,1,26.77,"2022-06-26 20:46:14.132836","2022-07-23 22:11:46.736465"
51,1,1,26.09,"2022-06-27 05:18:11.748123","2022-07-23 22:11:46.747960"
52,1,1,27.57,"2022-07-04 01:09:54.473412","2022-07-23 22:11:46.758165"
53,1,1,25.56,"2022-07-03 01:53:24.275280","2022-07-23 22:11:46.768280"
54,1,1,25.25,"2022-07-02 17:04:37.603034","2022-07-23 22:11:46.776680"
55,1,1,26.32,"2022-07-21 15:11:15.460071","2022-07-23 22:11:46.795810"
56,1,1,27.43,"2022-07-02 02:00:47.422869","2022-07-23 22:11:46.810651"
57,1,1,26.15,"2022-07-02 06:25:44.513218","2022-07-23 22:11:46.820088"
58,1,1,27.63,"2022-07-10 00:52:19.606918","2022-07-23 22:11:46.847750"
59,1,1,25.33,"2022-07-09 19:55:18.954009","2022-07-23 22:11:46.859291"
60,1,1,25.37,"2022-06-24 13:59:12.493113","2022-07-23 22:11:46.865972"
61,1,1,27.41,"2022-07-06 08:20:23.003154","2022-07-23 22:11:46.876312"
62,1,1,25.67,"2022-07-14 20:11:33.654435","2022-07-23 22:11:46.883081"
63,1,1,27.08,"2022-07-20 00:15:14.500234","2022-07-23 22:11:46.890555"
64,1,1,25.68,"2022-07-12 17:41:10.626231","2022-07-23 22:11:46.896476"
65,1,1,26.19,"2022-07-09 09:08:14.778327","2022-07-23 22:11:46.902274"
66,1,1,27.69,"2022-07-05 21:38:54.022975","2022-07-23 22:11:46.908958"
67,1,1,25.96,"2022-07-23 04:47:15.814788","2022-07-23 22:11:46.914986"
68,1,1,26.05,"2022-07-04 12:10:03.751521","2022-07-23 22:11:46.921116"
69,1,1,27.9,"2022-07-23 21:01:26.999757","2022-07-23 22:11:46.927198"
70,1,1,25.05,"2022-07-18 04:33:46.325718","2022-07-23 22:11:46.942821"
71,1,1,25.42,"2022-07-05 08:19:23.148646","2022-07-23 22:11:46.964962"
72,1,1,25.93,"2022-07-19 06:32:19.806578","2022-07-23 22:11:46.974222"
73,1,1,27.66,"2022-06-24 16:39:07.482832","2022-07-23 22:11:46.980543"
74,1,1,26.08,"2022-07-23 18:19:54.388868","2022-07-23 22:11:46.988732"
75,1,1,25.21,"2022-06-29 21:53:19.807045","2022-07-23 22:11:46.995526"
76,1,1,26.37,"2022-07-08 08:44:36.412699","2022-07-23 22:11:47.003757"
77,1,1,27.62,"2022-07-17 19:01:59.618261","2022-07-23 22:11:47.015967"
78,1,1,27.55,"2022-07-13 17:24:02.665218","2022-07-23 22:11:47.024867"
79,1,1,26.13,"2022-06-28 08:57:44.833980","2022-07-23 22:11:47.032802"
80,1,1,25.08,"2022-06-28 00:20:28.219220","2022-07-23 22:11:47.039195"
81,1,1,25.25,"2022-07-21 05:52:48.589787","2022-07-23 22:11:47.046356"
82,1,1,27.15,"2022-06-26 09:22:34.821163","2022-07-23 22:11:47.054058"
83,1,1,27.53,"2022-07-14 02:01:56.648335","2022-07-23 22:11:47.061788"
84,1,1,25.02,"2022-06-28 19:04:28.170925","2022-07-23 22:11:47.069088"
85,1,1,26.93,"2022-07-05 19:05:43.343228","2022-07-23 22:11:47.076153"
86,1,1,26.07,"2022-07-16 03:54:07.787713","2022-07-23 22:11:47.086451"
87,1,1,27.27,"2022-07-12 02:14:53.043127","2022-07-23 22:11:47.094375"
88,1,1,27.12,"2022-06-24 02:01:13.639737","2022-07-23 22:11:47.105382"
89,1,1,26.31,"2022-07-03 21:38:26.245530","2022-07-23 22:11:47.118284"
90,1,1,27.99,"2022-07-20 21:37:31.026460","2022-07-23 22:11:47.127649"
91,1,1,26.05,"2022-07-16 16:04:04.572270","2022-07-23 22:11:47.135668"
92,1,1,26.43,"2022-07-01 00:19:15.753320","2022-07-23 22:11:47.146067"
93,1,1,25.8,"2022-06-24 16:37:14.600642","2022-07-23 22:11:47.153759"
94,1,1,25.18,"2022-07-04 11:22:14.424882","2022-07-23 22:11:47.163059"
95,1,1,27.23,"2022-06-30 04:13:30.516412","2022-07-23 22:11:47.177091"
96,1,1,27.41,"2022-06-24 13:59:20.936394","2022-07-23 22:11:47.186096"
97,1,1,27.39,"2022-07-16 06:52:10.526812","2022-07-23 22:11:47.198062"
98,1,1,25.29,"2022-06-30 18:24:33.616403","2022-07-23 22:11:47.210873"
99,1,1,26.44,"2022-07-22 14:17:33.533019","2022-07-23 22:11:47.220847"
